,metabolite,reaction,flux_healthy,flux_CRC,flux_diff,perc_flux_diff
103,MGlcn14_rl_medium,EX_MGlcn14_rl_medium,-2e-06,-2e-06,0.0,-0.0
102,MGlcn14_medium,EX_MGlcn14_medium,-2e-06,-2e-06,0.0,-0.0
101,MGlcn149_rl_medium,EX_MGlcn149_rl_medium,0.0,0.0,0.0,
100,MGlcn149_medium,EX_MGlcn149_medium,0.0,0.0,0.0,
99,MGlcn148_rl_medium,EX_MGlcn148_rl_medium,0.0,0.0,0.0,
98,MGlcn148_medium,EX_MGlcn148_medium,0.0,0.0,0.0,
97,MGlcn147_rl_medium,EX_MGlcn147_rl_medium,0.0,0.0,0.0,
96,MGlcn147_medium,EX_MGlcn147_medium,0.0,0.0,0.0,
95,MGlcn146_rl_medium,EX_MGlcn146_rl_medium,0.0,0.0,0.0,
93,MGlcn145_rl_medium,EX_MGlcn145_rl_medium,0.0,0.0,0.0,
122,MGlcn15_medium,EX_MGlcn15_medium,0.0,0.0,0.0,
62,MGlcn131_medium,EX_MGlcn131_medium,0.0,0.0,0.0,
60,MGlcn130_medium,EX_MGlcn130_medium,0.0,0.0,0.0,
27,MGlcn113_rl_medium,EX_MGlcn113_rl_medium,0.0,0.0,0.0,
26,MGlcn113_medium,EX_MGlcn113_medium,0.0,0.0,0.0,
25,MGlcn112_rl_medium,EX_MGlcn112_rl_medium,0.0,0.0,0.0,
24,MGlcn112_medium,EX_MGlcn112_medium,0.0,0.0,0.0,
23,MGlcn111_rl_medium,EX_MGlcn111_rl_medium,0.0,0.0,0.0,
22,MGlcn111_medium,EX_MGlcn111_medium,0.0,0.0,0.0,
21,MGlcn110_rl_medium,EX_MGlcn110_rl_medium,0.0,0.0,0.0,
20,MGlcn110_medium,EX_MGlcn110_medium,0.0,0.0,0.0,
19,MGlcn109_rl_medium,EX_MGlcn109_rl_medium,0.0,0.0,0.0,
18,MGlcn109_medium,EX_MGlcn109_medium,0.0,0.0,0.0,
17,MGlcn108_rl_medium,EX_MGlcn108_rl_medium,0.0,0.0,0.0,
16,MGlcn108_medium,EX_MGlcn108_medium,0.0,0.0,0.0,
15,MGlcn107_rl_medium,EX_MGlcn107_rl_medium,0.0,0.0,0.0,
14,MGlcn107_medium,EX_MGlcn107_medium,0.0,0.0,0.0,
13,MGlcn106_rl_medium,EX_MGlcn106_rl_medium,0.0,0.0,0.0,
12,MGlcn106_medium,EX_MGlcn106_medium,0.0,0.0,0.0,
11,MGlcn105_rl_medium,EX_MGlcn105_rl_medium,0.0,0.0,0.0,
10,MGlcn105_medium,EX_MGlcn105_medium,0.0,0.0,0.0,
9,MGlcn104_rl_medium,EX_MGlcn104_rl_medium,0.0,0.0,0.0,
8,MGlcn104_medium,EX_MGlcn104_medium,0.0,0.0,0.0,
7,MGlcn101_rl_medium,EX_MGlcn101_rl_medium,0.0,0.0,0.0,
6,MGlcn101_medium,EX_MGlcn101_medium,0.0,0.0,0.0,
5,MGlcn100_rl_medium,EX_MGlcn100_rl_medium,0.0,0.0,0.0,
4,MGlcn100_medium,EX_MGlcn100_medium,0.0,0.0,0.0,
3,Lkynr_medium,EX_Lkynr_medium,0.0,0.0,0.0,
2,Lcyst_medium,EX_Lcyst_medium,0.0,0.0,0.0,
1,HC02194_medium,EX_HC02194_medium,-3e-06,-3e-06,0.0,-0.0
28,MGlcn114_medium,EX_MGlcn114_medium,0.0,0.0,0.0,
61,MGlcn130_rl_medium,EX_MGlcn130_rl_medium,0.0,0.0,0.0,
29,MGlcn114_rl_medium,EX_MGlcn114_rl_medium,0.0,0.0,0.0,
31,MGlcn115_rl_medium,EX_MGlcn115_rl_medium,0.0,0.0,0.0,
59,MGlcn12_rl_medium,EX_MGlcn12_rl_medium,-1e-06,-1e-06,0.0,-0.0
57,MGlcn129_rl_medium,EX_MGlcn129_rl_medium,0.0,0.0,0.0,
56,MGlcn129_medium,EX_MGlcn129_medium,0.0,0.0,0.0,
55,MGlcn128_rl_medium,EX_MGlcn128_rl_medium,0.0,0.0,0.0,
54,MGlcn128_medium,EX_MGlcn128_medium,0.0,0.0,0.0,
53,MGlcn127_rl_medium,EX_MGlcn127_rl_medium,0.0,0.0,0.0,
52,MGlcn127_medium,EX_MGlcn127_medium,0.0,0.0,0.0,
51,MGlcn126_rl_medium,EX_MGlcn126_rl_medium,0.0,0.0,0.0,
50,MGlcn126_medium,EX_MGlcn126_medium,0.0,0.0,0.0,
49,MGlcn124_rl_medium,EX_MGlcn124_rl_medium,0.0,0.0,0.0,
48,MGlcn124_medium,EX_MGlcn124_medium,0.0,0.0,0.0,
47,MGlcn123_rl_medium,EX_MGlcn123_rl_medium,0.0,0.0,0.0,
46,MGlcn123_medium,EX_MGlcn123_medium,0.0,0.0,0.0,
45,MGlcn122_rl_medium,EX_MGlcn122_rl_medium,0.0,0.0,0.0,
44,MGlcn122_medium,EX_MGlcn122_medium,0.0,0.0,0.0,
43,MGlcn121_rl_medium,EX_MGlcn121_rl_medium,0.0,0.0,0.0,
